id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;modalidad;beneficios;bono;ajuste;ajuste_porcentaje;idioma_exigencia;idioma_situaciones;recomendacion;busqueda;comunidad;comunidades;consejo_empleados;diversidad_sexual;discapacidad;diversidad_management;contrata_senior;contrata_discapacidad;sufrio_acoso;machismo;procesos_erp;tienen_pa;herramientas_analisis;prioridad_pa;usa_genai;genai_casos;capacitacion_pa;moneda;codigo_iso;banco;tipo_cambio;fuente;multiplicador;sueldo_ft;sueldo_dolar;cuenta
12;2023-10-02T10:26:40Z;Mujer cis;26 - 30;Universitario completo;Psicología;Universidad Privada;Perú;NA;Relación de Dependencia;Textiles, vestido, cuero, calzado;1.001 - 2.500;Nacional;30;Analista;Plazo Fijo;Full time;Capacitación y desarrollo;0;4;1;4;2400;Presencial 100%;Idiomas;No recibo bono;No tuve ajustes;0;No;Capacitación;4;Sí, activamente;No;NA;Que busque siempre el aprendizaje y la innovación con tecnología.;No;No tengo ninguna discapacidad;0.1;Si;Si;No;Si pero no es tanto;Gestión del Desempeño;No;Plataforma de BI (por ej., Power BI, Qlik, etc.), Excel;Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);Sol;PEN;BCRP;3.738;bcrp.gob.pe;1;2400;642.0545746388443;1
13;2023-10-02T10:49:55Z;Mujer cis;46 - 50;Universitario abandonado;Sistemas;Universidad Pública;Argentina;Corrientes;Relación de Dependencia;Otros;501 - 1.000;Nacional;9;Jefe;Indeterminado;Full time;Administración de personal;6;18;17;17;962000;Presencial 100%;Horarios flexibles, Abono de celular;Dos sueldos;3 o más ajustes;60;No;NA;4;No estoy buscando cambiar;Si;Grupo de WhatsApp;Que es apasionante y muy dinámico;No;NA;0.2;No;No;No;Si pero no es tanto;Nómina, Sueldos;No;Excel;No sé;No las usé nunca;NA;People Analytics;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;962000;2614.5567212045444;1
14;2023-10-02T10:57:50Z;Hombre cis;26 - 30;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Salta;Relación de Dependencia;Servicios de consultoría;5.001 - 10.000;Multinacional;10;Analista;Indeterminado;Full time;Reclutamiento y selección;0;1;2;2;340000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Asistencia Psicológica, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Asesoramiento Financiero, Seguro de vida (adicionales a los de ley), Reintegro en electricidad, Spotify / Netflix / Servicios de Streaming, Masajes;Un sueldo;3 o más ajustes;90;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;340000;924.0637060390281;1
15;2023-10-02T11:25:38Z;Hombre cis;36 - 40;Diplomado de posgrado completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;101 - 250;Multinacional;7;Jefe;Indeterminado;Full time;Generalista;1;4;3;16;850000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Seguro de vida (adicionales a los de ley), Plataforma de capacitación (Coursera);Dos sueldos;3 o más ajustes;88;Si;Reuniones, Emails, Reportes;3;No,  pero escucho ofertas;No;NA;Si te interesa el bienestar de las personas vas por el buen camino, pero debes mantenerte siempre actualizado, diversificar tu expertise y divertirte en el proceso;No;No tengo ninguna discapacidad;0.2;Si;No;No;No es un entorno machista;Sueldos;No;Excel;Se mantuvo estable;Las uso frecuentemente (varias veces al mes);Descripciones de puesto. Comunicaciones.;Ahí le methodology;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;850000;2310.1592650975704;1
16;2023-10-02T11:28:22Z;Hombre cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;10.001 o más;Multinacional;1100;Analista;Indeterminado;Full time;People analytics;0;2;2;15;750000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Asistencia Psicológica, Charter / Servicio de transporte, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Posgrados, Seguro de vida (adicionales a los de ley);Variable en función de los resultados de compañía;3 o más ajustes;70;Si;Reuniones, Emails, Reportes, Capacitación, Entrevistas, Documentación;5;No estoy buscando cambiar;Si;R4HR, HRAnalytics ThinkTank, People Analytics Spain;Que no trate de copiar y pegar lo que hacen otras empresas y que trate de aprender lo más posible de cómo funciona la organización para proponer acciones que realmente le sirvan a la compañía;No;No tengo ninguna discapacidad;0.4;No se;No se;Si;No es un entorno machista;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Gestión del Desempeño, Capacitación, Compensación y Beneficios;Si;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.), Software de Data Science (R, Python, SAS), Excel;Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);Resumen de emails con mucho texto. Brainstorming de ideas cuando no estaba inspirado.;Ciencia de Datos (R, Python, Sas, etc.);Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;750000;2038.375822144915;1
17;2023-10-02T11:28:45Z;Mujer cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Alimentación, bebidas;10.001 o más;Multinacional;230;Analista;Indeterminado;Full time;Capacitación y desarrollo;0;12;7;7;434000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Comedor / Almuerzos, Home office;Un sueldo;3 o más ajustes;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;434000;1179.540142414524;1
18;2023-10-02T11:35:17Z;Hombre cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;101 - 250;Multinacional;4;Analista;Indeterminado;Full time;Controller;0;1;1;1;513240;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Combustible, Frutas y snacks, Guadería, Gimnasio, Home office, Idiomas, Préstamos, Seguro de vida (adicionales a los de ley);Un sueldo;3 o más ajustes;136;Si;Emails, Reportes, Documentación;4;No,  pero escucho ofertas;No;NA;Que se capacite constantemente;No;No tengo ninguna discapacidad;0.3;No;No;No;Si pero no es tanto;Búsquedas/Applicant Tracking System, Sueldos, Gestión del Desempeño, Capacitación;No;Reportes Nativos del Sistema de Gestión, Excel;No sé;No las usé nunca;NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;513240;1394.9013426102083;1
20;2023-10-02T12:16:53Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;5;HRBP;Indeterminado;Part time;Capacitación y desarrollo;0;3;3;8;440000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Frutas y snacks, Guadería, Home office;No recibo bono;No tuve ajustes;69;No;NA;2;Sí, activamente;Si;Clases en Universidad;Todo el mundo arranca archivando legajos. Todo suma!;No;No tengo ninguna discapacidad;0.4;No;No;No;Si pero no es tanto;Búsquedas/Applicant Tracking System;No;Excel;Se mantuvo estable;Las usé sólo una vez;NA;Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;440000;1195.8471489916835;1
21;2023-10-02T13:22:51Z;Hombre cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Relación de Dependencia;Transporte (incluyendo aviación civil, ferrocarriles por carretera);101 - 250;Nacional;4;Gerente;Indeterminado;Full time;Generalista;3;9;4;15;1200000;Presencial 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Comedor / Almuerzos, Gimnasio;Dos sueldos;2 ajustes;69;No;NA;3;No,  pero escucho ofertas;Si;ADRHA;Creo fundamental tener Empatía y con eso poder transformar día a día nuestra área, puesto y lugar de trabajo;No;No tengo ninguna discapacidad;0.3;No;Si;No;Si, es muy machista;Sueldos, Capacitación;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.);Se mantuvo estable;No las usé nunca;NA;Excel;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;1200000;3261.401315431864;1
22;2023-10-02T13:46:19Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;2;Analista;Indeterminado;Full time;Administración de personal;0;2;2;2;239500;Presencial 100%;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;40;No;NA;1;Sí, activamente;No;NA;NA;No;No tengo ninguna discapacidad;0;No;No;No;Si pero no es tanto;Sueldos;No;Excel;NA;No las usé nunca;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;239500;650.9213458716096;1
23;2023-10-02T13:49:20Z;Hombre cis;26 - 30;Diplomado de posgrado en curso;Ingeniería Industrial;Universidad Privada;Perú;NA;Relación de Dependencia;Minería;10.001 o más;Multinacional;100;Responsable;Indeterminado;Full time;HRIS / Administración de sistemas de RH;1;5;4;5;11000;Remoto 100%;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Comedor / Almuerzos, Préstamos, Reintegros en capacitación;Variable en función de los resultados de compañía;1 solo;8;Si;Reuniones, Emails, Reportes, Capacitación, Entrevistas, Documentación;4;Sí, activamente;No;NA;NA;NA;No tengo ninguna discapacidad;0.1;Si;Si;No;No es un entorno machista;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Gestión del Desempeño, Capacitación, Compensación y Beneficios, No tenemos sistema de gestión;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.), Software de Data Science (R, Python, SAS), Excel;Se mantuvo estable;Las usé sólo una vez;NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);Sol;PEN;BCRP;3.738;bcrp.gob.pe;1;11000;2942.75013376137;1
24;2023-10-02T14:00:48Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Contador Público;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;251 - 500;Nacional;2;Director;Indeterminado;Full time;Administración de personal;2;6;1;1;1000000;Presencial 100%;Medicina prepaga / Plan de salud, Abono de celular;Variable en función de los resultados de compañía;3 o más ajustes;98;No;NA;5;No estoy buscando cambiar;No;NA;Que conozca el negocio donde se va a insertar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;1000000;2717.8344295265533;1
26;2023-10-02T15:04:15Z;Mujer cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;10.001 o más;Multinacional;50;Analista;Indeterminado;Full time;Reclutamiento y selección;0;2;2;6;670000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Asistencia Psicológica, Abono de internet, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley);Variable en función de los resultados de compañía;3 o más ajustes;70;Si;Reuniones, Emails, Reportes, Capacitación, Entrevistas, Documentación;5;No,  pero escucho ofertas;No;NA;NA;No;Motriz;0.6;Si;Si;Si;No es un entorno machista;Búsquedas/Applicant Tracking System, Sueldos;No;NA;No sé;No las usé nunca;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;670000;1820.9490677827907;1
27;2023-10-02T15:10:20Z;Mujer cis;31 - 35;Secundario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Ingeniería mecánica;501 - 1.000;Multinacional;9;HRBP;Indeterminado;Full time;generalista;0;8;0;5;550000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Asistencia Psicológica, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Guadería, Gimnasio, Home office, Idiomas, Asesoramiento Financiero, Reintegro en electricidad;Tres sueldos o más;3 o más ajustes;63;No;Reuniones, Emails, Reportes;5;No,  pero escucho ofertas;No;NA;Que nunca es fácil hacer una desvinculacion;No;No tengo ninguna discapacidad;0.4;Si;No se;No;Si pero no es tanto;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Capacitación, Compensación y Beneficios;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.);Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);Para inspirarme;Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), Ciencia de Datos (R, Python, Sas, etc.), People Analytics;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;550000;1494.8089362396042;1
28;2023-10-02T15:15:53Z;Mujer cis;26 - 30;Universitario en curso;Psicología;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Otros;251 - 500;Nacional;4;Analista;Indeterminado;Full time;Reclutamiento y selección;0;2;2;2;320000;Presencial 100%;Medicina prepaga / Plan de salud, Gimnasio;No recibo bono;2 ajustes;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;320000;869.707017448497;1
29;2023-10-02T15:36:48Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Servicios de salud;51 - 100;Nacional;2;Administrativo;Indeterminado;Full time;Capacitación y desarrollo;0;21;3;3;300;Presencial 100%;No tengo beneficios adicionales;No recibo bono;2 ajustes;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;300;0.815350328857966;1
30;2023-10-02T16:06:39Z;Hombre cis;26 - 30;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios de consultoría;1 - 50;Nacional;4;Analista;Indeterminado;Full time;Generalista;2;4;2;5;290000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles;No recibo bono;No tuve ajustes;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;290000;788.1719845627005;1
31;2023-10-02T16:24:54Z;Mujer cis;46 - 50;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Multinacional;4;Analista;Tercerizado / Outsourced;Full time;Payroll / Liquidación de sueldos;0;2;2;15;560000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Comedor / Almuerzos, Home office;No recibo bono;3 o más ajustes;60;Si;Emails;5;No,  pero escucho ofertas;No;NA;que tenga paciencia para comprender que se trabaja con personas;No;No tengo ninguna discapacidad;0.4;No;No;Si;Si pero no es tanto;Búsquedas/Applicant Tracking System, Sueldos, Gestión del Desempeño, Capacitación;No;Excel;Se mantuvo estable;No las usé nunca;no;Base de Datos (SQL);Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;560000;1521.9872805348698;1
32;2023-10-02T16:52:18Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Administración de Empresas;Universidad Privada;Chile;NA;Relación de Dependencia;Servicios profesionales;501 - 1.000;Multinacional;300;HRBP;Indeterminado;Full time;Generalista;0;2;2;10;2500000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Equipamiento ergonómico de teletrabajo, Home office, seguro de salud y vida;Un sueldo;No tuve ajustes;0;Si;Reuniones, Emails, Reportes, Capacitación, Documentación;4;No,  pero escucho ofertas;Si;Red de RRHH;NA;No;No tengo ninguna discapacidad;0.4;Si;No se;No;No es un entorno machista;NA;No;NA;NA;NA;NA;NA;Peso chileno;CLP;BCCH;910.28;https://www.bcentral.cl/;1;2500000;2746.4076987300614;1
33;2023-10-02T17:23:07Z;Mujer cis;41 - 45;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;51 - 100;Nacional;2;Analista;Indeterminado;Full time;Generalista;0;3;2;15;560000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Préstamos, Masajes;Variable en función de los resultados de compañía;2 ajustes;51;No;NA;3;No,  pero escucho ofertas;No;NA;NA;No;No tengo ninguna discapacidad;0.3;No;No;No;Si pero no es tanto;No tenemos sistema de gestión;No;Excel;Ha decrecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);Contenido de capacitación, presentaciones;NA;Peso argentino;ARS;BCRA;367.94;https://bcra.gob.ar/;1;560000;1521.9872805348698;1
