id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;modalidad;beneficios;bono;ajuste;ajuste_porcentaje;idioma_exigencia;idioma_situaciones;recomendacion;busqueda;comunidad;comunidades;consejo_empleados;diversidad_sexual;discapacidad;diversidad_management;contrata_senior;contrata_discapacidad;sufrio_acoso;machismo;procesos_erp;tienen_pa;herramientas_analisis;prioridad_pa;usa_genai;genai_casos;capacitacion_pa;registro_fiscal;anios_freelance;motivo;lugar_trabajo;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;riesgo;ingresos_fijo_variable;coeficiente;base_coeficiente;garantia;busqueda_tiempo;busqueda_barrera;requisitos_raros;servicio_principal;modalidad_servicios;negociacion;valor_hora
11;2023-10-02T09:41:11Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;1 - 50;Nacional;;Responsable;Indeterminado;Full time;Generalista;0;1;11;;600000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Frutas y snacks, Home office, Idiomas;Variable en función de los resultados de compañía;3 o más ajustes;;Si;Documentación;5;No,  pero escucho ofertas;Si;ADRHA;NA;No;No tengo ninguna discapacidad;0;No;No;No;Si pero no es tanto;Nómina, Sueldos, Gestión del Desempeño;No;Excel;Ha decrecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);la use para tener alternativas de redaccion a alguna comunicación interna;people experience;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
12;2023-10-02T10:26:40Z;Mujer cis;26 - 30;Universitario completo;Psicología;Universidad Privada;Perú;NA;Relación de Dependencia;Textiles, vestido, cuero, calzado;1.001 - 2.500;Nacional;;Analista;Plazo Fijo;Full time;Capacitación y desarrollo;0;4;1;;2400;Presencial 100%;Idiomas;No recibo bono;No tuve ajustes;;No;Capacitación;4;Sí, activamente;No;NA;Que busque siempre el aprendizaje y la innovación con tecnología.;No;No tengo ninguna discapacidad;0.1;Si;Si;No;Si pero no es tanto;Gestión del Desempeño;No;Plataforma de BI (por ej., Power BI, Qlik, etc.), Excel;Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
13;2023-10-02T10:49:55Z;Mujer cis;46 - 50;Universitario abandonado;Sistemas;Universidad Pública;Argentina;Corrientes;Relación de Dependencia;Otros;501 - 1.000;Nacional;;Jefe;Indeterminado;Full time;Administración de personal;6;18;17;;962000;Presencial 100%;Horarios flexibles, Abono de celular;Dos sueldos;3 o más ajustes;;No;NA;4;No estoy buscando cambiar;Si;Grupo de WhatsApp;Que es apasionante y muy dinámico;No;NA;0.2;No;No;No;Si pero no es tanto;Nómina, Sueldos;No;Excel;No sé;No las usé nunca;NA;People Analytics;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
14;2023-10-02T10:57:50Z;Hombre cis;26 - 30;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Salta;Relación de Dependencia;Servicios de consultoría;5.001 - 10.000;Multinacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;1;2;;340000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Licencias extendidas, Asistencia Psicológica, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Asesoramiento Financiero, Seguro de vida (adicionales a los de ley), Reintegro en electricidad, Spotify / Netflix / Servicios de Streaming, Masajes;Un sueldo;3 o más ajustes;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
15;2023-10-02T11:25:38Z;Hombre cis;36 - 40;Diplomado de posgrado completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;101 - 250;Multinacional;;Jefe;Indeterminado;Full time;Generalista;1;4;3;;850000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Seguro de vida (adicionales a los de ley), Plataforma de capacitación (Coursera);Dos sueldos;3 o más ajustes;;Si;Reuniones, Emails, Reportes;3;No,  pero escucho ofertas;No;NA;Si te interesa el bienestar de las personas vas por el buen camino, pero debes mantenerte siempre actualizado, diversificar tu expertise y divertirte en el proceso;No;No tengo ninguna discapacidad;0.2;Si;No;No;No es un entorno machista;Sueldos;No;Excel;Se mantuvo estable;Las uso frecuentemente (varias veces al mes);Descripciones de puesto. Comunicaciones.;Ahí le methodology;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
16;2023-10-02T11:28:22Z;Hombre cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Industrias químicas;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;People analytics;0;2;2;;750000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Asistencia Psicológica, Charter / Servicio de transporte, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Gimnasio, Home office, Idiomas, Posgrados, Seguro de vida (adicionales a los de ley);Variable en función de los resultados de compañía;3 o más ajustes;;Si;Reuniones, Emails, Reportes, Capacitación, Entrevistas, Documentación;5;No estoy buscando cambiar;Si;R4HR, HRAnalytics ThinkTank, People Analytics Spain;Que no trate de copiar y pegar lo que hacen otras empresas y que trate de aprender lo más posible de cómo funciona la organización para proponer acciones que realmente le sirvan a la compañía;No;No tengo ninguna discapacidad;0.4;No se;No se;Si;No es un entorno machista;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Gestión del Desempeño, Capacitación, Compensación y Beneficios;Si;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.), Software de Data Science (R, Python, SAS), Excel;Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);Resumen de emails con mucho texto. Brainstorming de ideas cuando no estaba inspirado.;Ciencia de Datos (R, Python, Sas, etc.);NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
17;2023-10-02T11:28:45Z;Mujer cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Alimentación, bebidas;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;Capacitación y desarrollo;0;12;7;;434000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Comedor / Almuerzos, Home office;Un sueldo;3 o más ajustes;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
18;2023-10-02T11:35:17Z;Hombre cis;31 - 35;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;101 - 250;Multinacional;;Analista;Indeterminado;Full time;Controller;0;1;1;;513240;Híbrido/Mixto;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Combustible, Frutas y snacks, Guadería, Gimnasio, Home office, Idiomas, Préstamos, Seguro de vida (adicionales a los de ley);Un sueldo;3 o más ajustes;;Si;Emails, Reportes, Documentación;4;No,  pero escucho ofertas;No;NA;Que se capacite constantemente;No;No tengo ninguna discapacidad;0.3;No;No;No;Si pero no es tanto;Búsquedas/Applicant Tracking System, Sueldos, Gestión del Desempeño, Capacitación;No;Reportes Nativos del Sistema de Gestión, Excel;No sé;No las usé nunca;NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
19;2023-10-02T11:48:54Z;Mujer cis;36 - 40;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Santa Fe;Freelance;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Monotributista;14;;Oficinas de clientes;No;No exporto servicios;No;Si;No;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Diseño organizacional;Mix;Si;
20;2023-10-02T12:16:53Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Tecnologías de información;101 - 250;Nacional;;HRBP;Indeterminado;Part time;Capacitación y desarrollo;0;3;3;;440000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Frutas y snacks, Guadería, Home office;No recibo bono;No tuve ajustes;;No;NA;2;Sí, activamente;Si;Clases en Universidad;Todo el mundo arranca archivando legajos. Todo suma!;No;No tengo ninguna discapacidad;0.4;No;No;No;Si pero no es tanto;Búsquedas/Applicant Tracking System;No;Excel;Se mantuvo estable;Las usé sólo una vez;NA;Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
21;2023-10-02T13:22:51Z;Hombre cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Relación de Dependencia;Transporte (incluyendo aviación civil, ferrocarriles por carretera);101 - 250;Nacional;;Gerente;Indeterminado;Full time;Generalista;3;9;4;;1200000;Presencial 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Comedor / Almuerzos, Gimnasio;Dos sueldos;2 ajustes;;No;NA;3;No,  pero escucho ofertas;Si;ADRHA;Creo fundamental tener Empatía y con eso poder transformar día a día nuestra área, puesto y lugar de trabajo;No;No tengo ninguna discapacidad;0.3;No;Si;No;Si, es muy machista;Sueldos, Capacitación;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.);Se mantuvo estable;No las usé nunca;NA;Excel;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
22;2023-10-02T13:46:19Z;Mujer cis;26 - 30;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;101 - 250;Nacional;;Analista;Indeterminado;Full time;Administración de personal;0;2;2;;239500;Presencial 100%;No tengo beneficios adicionales;No recibo bono;3 o más ajustes;;No;NA;1;Sí, activamente;No;NA;NA;No;No tengo ninguna discapacidad;0;No;No;No;Si pero no es tanto;Sueldos;No;Excel;NA;No las usé nunca;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
23;2023-10-02T13:49:20Z;Hombre cis;26 - 30;Diplomado de posgrado en curso;Ingeniería Industrial;Universidad Privada;Perú;NA;Relación de Dependencia;Minería;10.001 o más;Multinacional;;Responsable;Indeterminado;Full time;HRIS / Administración de sistemas de RH;1;5;4;;11000;Remoto 100%;Medicina prepaga / Plan de salud, Vacaciones extendidas, Abono de celular, Comedor / Almuerzos, Préstamos, Reintegros en capacitación;Variable en función de los resultados de compañía;1 solo;;Si;Reuniones, Emails, Reportes, Capacitación, Entrevistas, Documentación;4;Sí, activamente;No;NA;NA;NA;No tengo ninguna discapacidad;0.1;Si;Si;No;No es un entorno machista;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Gestión del Desempeño, Capacitación, Compensación y Beneficios, No tenemos sistema de gestión;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.), Software de Data Science (R, Python, SAS), Excel;Se mantuvo estable;Las usé sólo una vez;NA;Excel, Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.);NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
24;2023-10-02T14:00:48Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Contador Público;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;251 - 500;Nacional;;Director;Indeterminado;Full time;Administración de personal;2;6;1;;1000000;Presencial 100%;Medicina prepaga / Plan de salud, Abono de celular;Variable en función de los resultados de compañía;3 o más ajustes;;No;NA;5;No estoy buscando cambiar;No;NA;Que conozca el negocio donde se va a insertar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
25;2023-10-02T14:13:45Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Buenos Aires;Freelance;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Monotributista;2;;Casa;Si;Payoneer;No;Si;Si;Si;Si, esporádicamente;Depende el cliente;Variables;;Remuneración mensual del ingresante;3 meses;25;Remuneración ofrecida por el cliente, Beneficios poco atractivos de la empresa;Por ahora nada;NA;NA;NA;
26;2023-10-02T15:04:15Z;Mujer cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;10.001 o más;Multinacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;2;2;;670000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Asistencia Psicológica, Abono de internet, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Idiomas, Seguro de vida (adicionales a los de ley);Variable en función de los resultados de compañía;3 o más ajustes;;Si;Reuniones, Emails, Reportes, Capacitación, Entrevistas, Documentación;5;No,  pero escucho ofertas;No;NA;NA;No;Motriz;0.6;Si;Si;Si;No es un entorno machista;Búsquedas/Applicant Tracking System, Sueldos;No;NA;No sé;No las usé nunca;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
27;2023-10-02T15:10:20Z;Mujer cis;31 - 35;Secundario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Ingeniería mecánica;501 - 1.000;Multinacional;;HRBP;Indeterminado;Full time;generalista;0;8;0;;550000;Híbrido/Mixto;Medicina prepaga / Plan de salud, Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Asistencia Psicológica, Abono de internet, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Guadería, Gimnasio, Home office, Idiomas, Asesoramiento Financiero, Reintegro en electricidad;Tres sueldos o más;3 o más ajustes;;No;Reuniones, Emails, Reportes;5;No,  pero escucho ofertas;No;NA;Que nunca es fácil hacer una desvinculacion;No;No tengo ninguna discapacidad;0.4;Si;No se;No;Si pero no es tanto;Búsquedas/Applicant Tracking System, Nómina, Sueldos, Capacitación, Compensación y Beneficios;No;Reportes Nativos del Sistema de Gestión, Plataforma de BI (por ej., Power BI, Qlik, etc.);Ha crecido;Las uso ocasionalmente (alguna vez en los últimos 3 meses);Para inspirarme;Visualización de Datos (PowerBI, Tableau, Qlik, Data Studio, etc.), Ciencia de Datos (R, Python, Sas, etc.), People Analytics;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
28;2023-10-02T15:15:53Z;Mujer cis;26 - 30;Universitario en curso;Psicología;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Otros;251 - 500;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;2;2;;320000;Presencial 100%;Medicina prepaga / Plan de salud, Gimnasio;No recibo bono;2 ajustes;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
29;2023-10-02T15:36:48Z;Mujer cis;41 - 45;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Servicios de salud;51 - 100;Nacional;;Administrativo;Indeterminado;Full time;Capacitación y desarrollo;0;21;3;;300;Presencial 100%;No tengo beneficios adicionales;No recibo bono;2 ajustes;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
30;2023-10-02T16:06:39Z;Hombre cis;26 - 30;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Buenos Aires;Relación de Dependencia;Servicios de consultoría;1 - 50;Nacional;;Analista;Indeterminado;Full time;Generalista;2;4;2;;290000;Remoto 100%;Medicina prepaga / Plan de salud, Horarios flexibles;No recibo bono;No tuve ajustes;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;
