id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;rubro;dotacion;origen_capital;dotacion_rh;puesto;tipo_contratacion;jornada;funcion;personas_a_cargo;anios_empresa;anios_puesto;anios_rh;sueldo_bruto;beneficios;bono;bono_frecuencia;ajuste;ajuste_porcentaje;ajuste_mes;otros_proyectos;partidos_oficina;agenda;idioma_exigencia;idioma_porcentaje;satisfaccion;busqueda;desarrollo;anecdota;influencia_rh;colegio;colegio_fundamento;comunidad;comunidades;tarea_odiosa;diversidad_sexual;discapacidad;libertad_ser;diversidad_management;contrata_senior;contrata_discapacidad;lenguaje_inclusivo;linea_segura;sufrio_acoso;machismo;modalidad;dias_teletrabajo;satisfaccion_retorno;estres;comparacion;motivo;registro_fiscal;anios_freelance;que_te_motivo_a_trabajar_por_tu_cuenta;donde_trabajas_habitualmente;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;entrevista_ingles;trabajas_a_riesgo;coeficiente;base_coeficiente;garantia;servicio_principal;negociacion;valor_hora
11;2022-10-07T12:43:50Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;251 - 500;Nacional;;Gerente;Indeterminado;Full time;Relaciones laborales;4;;0;;176000;No tengo beneficios adicionales;No recibo bono;No recibo bono;2 ajustes;;Julio;No;Sí;Sí, formalmente está avalado por la empresa;No;0;3;No estoy buscando cambiar;3;Peleas de parejas dentro de la empresa.;Se dice que sí, pero en la práctica no tiene un rol importante;No;NA;No;;Organizar la fiesta/regalos de fin de año;No;No tengo ninguna discapacidad;De acuerdo;0.2;No;No;Ni de acuerdo ni en desacuerdo;No;No;No es un entorno machista;Presencial 100%;No aplica;Muy satisfecho;8;Con menos estrés;Autoexigencia;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
12;2022-10-07T13:15:05Z;Mujer cis;31 - 35;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;101 - 250;Multinacional;;HRBP;Indeterminado;Full time;Reclutamiento y selección;0;;2;;190000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Reintegros en capacitación, Cumpleaños libre, plataforma de descuento, semana libre en navidad o Año Nuevo;Menos de un sueldo;Trimestral;3 o más ajustes;;Octubre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
13;2022-10-07T13:20:44Z;Hombre cis;41 - 45;Maestría o superior en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Industrias químicas;101 - 250;Multinacional;;Gerente;Indeterminado;Full time;Generalista;5;;7;;736000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Combustible, Comedor / Almuerzos, Home office, Idiomas, Posgrados, Préstamos, Reintegros en capacitación;Dos sueldos;Anual;2 ajustes;;Julio;No;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;0.3;5;No,  pero escucho ofertas;3;NA;Si, tiene un rol importante real;Si;NA;Si;;Archivar;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.1;No;No;Totalmente de acuerdo;Si;No;Si pero no es tanto;Mixto;3 días;Algo insatisfecho;7;Con más estrés;Más cantidad de proyectos globales;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
14;2022-10-07T13:27:57Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;La Pampa;Relación de Dependencia;Servicios de salud;51 - 100;Nacional;;Gerente;Indeterminado;Full time;Generalista;0;;1;;300000;Horarios flexibles, Home office, Posgrados, Préstamos, Reintegros en capacitación;No recibo bono;No recibo bono;1 solo;;Octubre;Si, en emprendimiento no relacionado con RRHH;No;No está permitido;No;NA;4;No,  pero escucho ofertas;3;"que en un cv una persona escribio...""mis expectativas son poder dar una buena atencion y sobre todo contencion al cte y poder asesinarlo"" o cosas como..""hola soy una persona""...menos mal ajajaj";Si, tiene un rol importante real;No se;controversial diria, no todos los colegios tienen el funcionamiento esperado. suelen quitar mas de lo que dan. cada uno se maneja con sus propios criterios y marcos teóricos rigidos. en mi experiencia con el colegio de psicólogos.;No;;Archivar;Si;No tengo ninguna discapacidad;De acuerdo;1;No;Si;De acuerdo;Si;No;Si, es muy machista;Presencial 100%;NA;NA;5;Con menos estrés;por mis propias criticas internas y no sentirme capaz de hacer otro tipo de trabajo ..a veces creo q solo soy buena para estar en este lugar y no en otro.;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
15;2022-10-07T14:04:31Z;Hombre cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;251 - 500;Nacional;;Responsable;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;9;;180000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Home office, Préstamos;Variable en función de los resultados de compañía;Anual;2 ajustes;;Agosto;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
16;2022-10-07T14:21:21Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Construcción;501 - 1.000;Multinacional;;Responsable;Indeterminado;Full time;Reclutamiento y selección;0;;0;;220000;Medicina prepaga / Plan de salud, Abono de celular, Comedor / Almuerzos, Home office;Un sueldo;Anual;1 solo;;Agosto;Si, en emprendimiento relacionado con RRHH;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;4;No,  pero escucho ofertas;3;Entrevistar que alguien que no era el del cv que tenía, lo había bajado de internet y no lo había modificado;Si, tiene un rol importante real;Si;Creo que estar matriculado o avalado por una institución seria algo que nos aportaría mucho como profesionales y en nuestro rol.;Si;;Trámites presenciales en organismos públicos;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.3;No;No;Ni de acuerdo ni en desacuerdo;Si;No;Si pero no es tanto;Mixto;2 días;Algo satisfecho;8;Con menos estrés;Por ser un trabajo en el que acabo de comenzar;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
17;2022-10-07T15:36:07Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;1.001 - 2.500;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;1;;355000;Comedor / Almuerzos;No recibo bono;No recibo bono;1 solo;;Septiembre;No;Sí;No está permitido;No;0.1;3;No,  pero escucho ofertas;2;NA;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;Si;;NA;No;No tengo ninguna discapacidad;En desacuerdo;0.6;No;No;Ni de acuerdo ni en desacuerdo;No;Si;Si, es muy machista;Presencial 100%;No aplica;No aplica / Prefiero no responder;8;Con menos estrés;Volumen de tareas;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
18;2022-10-07T17:42:12Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Psicología;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;NA;NA;NA;;NA;NA;NA;NA;NA;;NA;;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Monotributista;;Manejar mis horarios y mis ingresos, tener desafíos diferentes a los que uno gestiona en las empresas;Casa;Si;Payoneer;No;Si;Si;Si;Si, esporádicamente;Si;;Remuneración mensual del ingresante;2 meses;NA;NA;NA
19;2022-10-07T17:47:55Z;Hombre cis;51 - 55;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Textiles, vestido, cuero, calzado;101 - 250;Nacional;;Gerente;Indeterminado;Full time;Generalista;2;;8;;430000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Combustible, Home office, Posgrados;No recibo bono;No recibo bono;2 ajustes;;Septiembre;No;Sí;Sí, formalmente está avalado por la empresa;No;NA;4;No,  pero escucho ofertas;2;Organizar un torneo de ping pong y anotar al 40% de la Planta.;Si, tiene un rol importante real;Si;NA;Si;;Trámites presenciales en organismos públicos;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.4;Si;No;Totalmente en desacuerdo;No;No;Si pero no es tanto;Mixto;1 día;Muy satisfecho;5;Con menos estrés;Incertidumbre economica;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
20;2022-10-07T18:27:48Z;Hombre cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;101 - 250;Nacional;;Jefe;Indeterminado;Full time;Generalista;1;;4;;250000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Home office, Garantías para alquilar;No recibo bono;No recibo bono;3 o más ajustes;;Septiembre;No;No;No está permitido;No;0;3;Sí, activamente;4;0;No tiene un rol importante en la toma de decisiones;Si;No cualquiera puede ejercer esta profesión;No;;Atender los reclamos constantesndel personal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
21;2022-10-07T19:37:46Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Contador Público;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;5.001 - 10.000;Multinacional;;Gerente;Indeterminado;Full time;Compensaciones y beneficios;10;;2;;1320000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Home office, Idiomas;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Octubre;Si, en emprendimiento relacionado con RRHH;Trabajo full remoto;Sí, formalmente está avalado por la empresa;Si;0.7;4;No,  pero escucho ofertas;2;NA;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;Si;;Escribir politicas;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.3;No;Si;De acuerdo;Si;No;Si, es muy machista;Remoto 100%;No aplica;Algo insatisfecho;7;Mismo nivel de estrés;La falta de comunicación efectiva;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
22;2022-10-07T19:56:54Z;Mujer cis;25 - 30;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;251 - 500;Multinacional;;Analista;Indeterminado;Full time;Administración de personal;0;;0;;147500;Frutas y snacks, Préstamos;No recibo bono;No recibo bono;3 o más ajustes;;Diciembre;No;Sí;Sí, formalmente está avalado por la empresa;No;0;4;No,  pero escucho ofertas;1;NA;Se dice que sí, pero en la práctica no tiene un rol importante;Si;NA;Si;;Archivar;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.5;Si;No;Ni de acuerdo ni en desacuerdo;No se;No;Si, es muy machista;Presencial 100%;No aplica;Muy satisfecho;3;Con menos estrés;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
23;2022-10-07T20:13:01Z;Mujer cis;46 - 50;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;251 - 500;Nacional;;Jefe;Indeterminado;Full time;Generalista;4;;10;;395000;Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Home office;No recibo bono;No recibo bono;3 o más ajustes;;Agosto;Si, en emprendimiento relacionado con RRHH;Trabajo full remoto;No me interesa;No;0;3;No,  pero escucho ofertas;3;NA;Si, tiene un rol importante real;Si;Nos permitiria mayor reconocimiento profesional y otros beneficios.;No;;Organizar la fiesta/regalos de fin de año;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.9;Si;Si;Ni de acuerdo ni en desacuerdo;Si;Si;Si pero no es tanto;Remoto 100%;No aplica;Muy insatisfecho;8;Mismo nivel de estrés;cantidad de cosas;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
24;2022-10-07T22:08:54Z;Hombre cis;51 - 55;Maestría o superior completa;Ingenieria Electronica;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;51 - 100;Nacional;;Analista;Indeterminado;Full time;Administración de personal;0;;2;;180000;Medicina prepaga / Plan de salud, Horarios flexibles;No recibo bono;No recibo bono;2 ajustes;;Octubre;No;Trabajo full remoto;no se hablo todavia;Si;0.1;4;No,  pero escucho ofertas;1;NA;Se dice que sí, pero en la práctica no tiene un rol importante;No;NA;No;;Organizar la fiesta/regalos de fin de año;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
25;2022-10-07T22:45:31Z;Mujer cis;25 - 30;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;5.001 - 10.000;Multinacional;;HRBP;Indeterminado;Full time;Generalista;0;;1;;188328;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Frutas y snacks, Guadería, Gimnasio, Home office, D8as por mes libres - viernes flex - productos gratis de la compañia - politica pars trabajar fuera del pais por 2 meses;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Septiembre;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
26;2022-10-08T13:21:07Z;Hombre cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Medios de comunicación, cultura, gráficos;501 - 1.000;Nacional;;Responsable;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;7;;237931;Medicina prepaga / Plan de salud, Horarios flexibles, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Posgrados;No recibo bono;No recibo bono;3 o más ajustes;;Julio;Si, en emprendimiento relacionado con RRHH;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;2;Sí, activamente;1;NA;No tiene un rol importante en la toma de decisiones;Si;Para que podamos tener natricula y mejorar la calidad e imagen del área;Si;;Archivar;No;No tengo ninguna discapacidad;De acuerdo;0.6;No;No;Totalmente en desacuerdo;Si;No;Si pero no es tanto;Mixto;3 días;Muy insatisfecho;8;Mismo nivel de estrés;Falta de desarrollo;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA
